"id","label","labellevel","span"
"53","adjectives/ adverbs expressing possibility","Utterance level","I &&&&probably&&&& would would like to try like something new and."
"54","backchannels","Utterance level","&&&&Umm?&&&&"
"55","question-based responses","Utterance level","&&&&Umm?&&&&"
"56","backchannels","Utterance level","&&&&Something like.&&&&"
"57","backchannels","Utterance level","&&&&Public servant&&&&"
"58","subordinate clauses","Token level","staffs. &&&&Because&&&& you know that."
"59","subordinate clauses","Token level","&&&&If&&&& you're in China **working government**[bi]. **Yeah**[ak], I work for the government like the government officers OPS."
"60","backchannels","Utterance level","&&&&Standing up.&&&&"
"61","question-based responses","Utterance level","&&&&What is important here?&&&&"
"62","backchannels","Utterance level","&&&&Uh.&&&&"
"63","subordinate clauses","Token level","Like &&&&if&&&& you still want to."
"64","adjectives/ adverbs expressing possibility","Utterance level","Go back, just go go back to University and considering for study or training like a high level in your major, you &&&&probably&&&& think about doing something very professional."
"65","epistemic modals","Utterance level","Be publishing some papers so you &&&&can&&&& do it preparation, but if you want to get money and get higher promotion."
"66","subordinate clauses","Token level","Be publishing some papers so you can do it preparation, but &&&&if&&&& you want to get money and get higher promotion."
"67","backchannels","Utterance level","&&&&She think about.&&&&"
"68","backchannels","Utterance level","&&&&Doing something realistic.&&&&"
"69","epistemic modals","Utterance level","Something &&&&would&&&& get you real experience, for, at least for my major, like you need to code a lot."
"70","subordinate clauses","Token level","**umm**[bc]  I feel like it's really hard to contribute on this topic &&&&because&&&& I know nothing about business."
"71","epistemic modals","Utterance level","It's OK because we &&&&can&&&& also talk about like some general.  **ah**[bc] **en**[bc] **ah**[bc]"
"72","subordinate clauses","Token level","It's OK &&&&because&&&& we can also talk about like some general.  **ah**[bc] **en**[bc] **ah**[bc]"
"73","epistemic modals","Utterance level","He knows you too. I have some like working experience right? We &&&&can&&&& both discuss on this aspect."
"74","question-based responses","Utterance level","&&&&Guess what, two week?&&&&"
"75","epistemic modals","Utterance level","Work experience program. So we are ready. You &&&&can&&&& show her."
"76","backchannels","Utterance level","&&&&Umm?&&&&"
"77","question-based responses","Utterance level","&&&&Umm?&&&&"
"78","question-based responses","Utterance level","&&&&What kind of working experience?&&&&"
"79","epistemic modals","Utterance level","Important, like key elements that you &&&&should&&&& deliver. Sorry, can't give you any instructions because I'm the examiner."
"80","negotiation of meaning","Token level","Important, like key elements that you should deliver. &&&&Sorry&&&&, can't give you any instructions because I'm the examiner."
"81","subordinate clauses","Token level","Important, like key elements that you should deliver. Sorry, can't give you any instructions &&&&because&&&& I'm the examiner."
"82","backchannels","Utterance level","&&&&And not.&&&&"
"83","epistemic modals","Utterance level","**umm**[ak] I think we &&&&should&&&& start at the two week."
"84","backchannels","Utterance level","&&&&Yeah, because another.&&&&"
"85","subordinate clauses","Token level","Yeah, &&&&because&&&& another."
"86","question-based responses","Utterance level","&&&&Have you something to?&&&&"
"87","epistemic modals","Utterance level","You &&&&can&&&& basically just deliver some general things instead of giving them an incomprehensive idea of what to do and for the working experiences so."
"88","backchannels","Utterance level","&&&&Umm?&&&&"
"89","question-based responses","Utterance level","&&&&Umm?&&&&"
"90","backchannels","Utterance level","&&&&The arrangement. **Yeah**[be]&&&&"
"91","epistemic modals","Utterance level","I think this is one of the key elements that this &&&&should&&&& content in."
"92","subordinate clauses","Token level","I think this is one of the key elements &&&&that&&&& this should content in."
"93","backchannels","Utterance level","&&&&The the programming.&&&&"
"94","question-based responses","Utterance level","&&&&Go work with each other, right?&&&&"
"95","adjectives/ adverbs expressing possibility","Utterance level","Like people, my from different backgrounds, even though they're.  They're from the same major.  &&&&Probably&&&& they have different ways of socializing.  I mean, you still have to do some socialization works at the workplace.  Umm?  Like how to avoid the? How to have an enter communicative like? What if this is?  This is the place with people from all different cultural backgrounds, so learning how to do an intercommunication."
"96","negotiation of meaning","Token level","Like people, my from different backgrounds, even though they're.  They're from the same major.  Probably they have different ways of socializing.  &&&&I mean&&&&, you still have to do some socialization works at the workplace.  Umm?  Like how to avoid the? How to have an enter communicative like? What if this is?  This is the place with people from all different cultural backgrounds, so learning how to do an intercommunication."
"97","subordinate clauses","Token level","Like people, my from different backgrounds, even though they're.  They're from the same major.  Probably they have different ways of socializing.  I mean, you still have to do some socialization works at the workplace.  Umm?  Like how to avoid the? How to have an enter communicative like? What &&&&if&&&& this is?  This is the place with people from all different cultural backgrounds, so learning how to do an intercommunication."
"98","question-based responses","Utterance level","&&&&Is kind of important?&&&&"
"99","backchannels","Utterance level","&&&&How to participate?&&&&"
"100","question-based responses","Utterance level","&&&&How to participate?&&&&"
"101","backchannels","Utterance level","&&&&Should be selected.&&&&"
"102","epistemic modals","Utterance level","&&&&Should&&&& be selected."
"103","backchannels","Utterance level","&&&&Umm?&&&&"
"104","question-based responses","Utterance level","&&&&Umm?&&&&"
"105","backchannels","Utterance level","&&&&Participants.&&&&"
"106","subordinate clauses","Token level","&&&&Because&&&& it's a two week work, so they don't need to have it. I actually quite confused about this participant. I don't know what those that prefer specifically is like a group of.  **Ah**[ak]"
"107","backchannels","Utterance level","&&&&Business students.&&&&"
"108","epistemic modals","Utterance level","Then why &&&&would&&&& they? **Yeah**[be]"
"109","backchannels","Utterance level","&&&&And.&&&&"
"110","backchannels","Utterance level","&&&&Alright.&&&&"
"111","subordinate clauses","Token level","In &&&&that&&&& small group of business students, it's not just all of them."
"112","backchannels","Utterance level","&&&&Yeah.&&&&"
"113","question-based responses","Utterance level","&&&&Why is not job interview is?&&&&"
"114","epistemic modals","Utterance level","Is OK like you &&&&can&&&& do half half like the first half. You prepare them a text about all the professional knowledges. What was inquired inside this job is kind of important to select like to text it to examine if they have the ability of handle this job. If they have the capability of handling this job."
"115","subordinate clauses","Token level","Is OK like you can do half half like the first half. You prepare them a text about all the professional knowledges. What was inquired inside this job is kind of important to select like to text it to examine &&&&if&&&& they have the ability of handle this job. If they have the capability of handling this job."
"116","backchannels","Utterance level","&&&&**uh huh**[bc]&&&&"
"117","epistemic modals","Utterance level","And the second half of the task &&&&can&&&& be like a face to face interview."
"118","epistemic modals","Utterance level","Like they &&&&can&&&& be invited into a workplace and talk to a talk, talk with them workplace officer and.  Umm They can ask some basic questions.  Like if they have.  If they're punctual enough.  Or  you can't think of any general questions based on the business field, but.Yeah, just."
"119","subordinate clauses","Token level","Like they can be invited into a workplace and talk to a talk, talk with them workplace officer and.  Umm They can ask some basic questions.  Like &&&&if&&&& they have.  If they're punctual enough.  Or  you can't think of any general questions based on the business field, but.Yeah, just."
"120","subordinate clauses","Token level","Like ask them questions and see &&&&if&&&& they are qualified enough or not."
"121","subordinate clauses","Token level","I think if they are qualified in the field knowledge they need to ask some questions about the questioning ready to accept this job already to communicate with. Yeah and like show their advantages and I think one important question &&&&that&&&& I encountered in my job interview previously is that some examiners they want you to tell the stories of.  **Yeah**[ak] and like…"
"122","question-based responses","Utterance level","&&&&What kind of shortcomings of you and how you can overcome this?&&&&"
"123","epistemic modals","Utterance level","What kind of shortcomings of you and how you &&&&can&&&& overcome this?"
"124","subordinate clauses","Token level","During the work place &&&&that&&&& also shows your ability of.  **okay**[be]"
"125","backchannels","Utterance level","&&&&Umm?&&&&"
"126","question-based responses","Utterance level","&&&&Umm?&&&&"
"127","backchannels","Utterance level","&&&&Uh.&&&&"
"128","backchannels","Utterance level","&&&&I think that's.&&&&"
"129","subordinate clauses","Token level","I think &&&&that&&&&'s."
"130","backchannels","Utterance level","&&&&Important **situation**[bg]&&&&"
"131","conversation closing","Dialogue level","&&&&True, and thank you Jeff. This is all for today's parents.&&&&"
