"id","label","labellevel","span"
"88","subordinate clauses","Token level","And little company should from my does the student can learn something from? Yeah, &&&&because&&&& the cultural worker means more skilled like things like to. **Yeah**[be]"
"89","subordinate clauses","Token level","You have to pay. You have as a business student &&&&that&&&& if you studying accounting or something like that you have to like."
"90","subordinate clauses","Token level","Joining the comparable department or account receivable department of like the payroll department so you have you have to have more skilled experiences &&&&because&&&& when you are, when you're hiring by like the company as a contract worker, you have to, you have to be to be skilled, you know, to like to earn that money, because if you are, if you are a contract worker, you have to be paid by the company. But you have to. But you are the internship. You don't have to be paid as like."
"91","backchannels","Utterance level","&&&&That internship employee?&&&&"
"92","question-based responses","Utterance level","&&&&That internship employee?&&&&"
"93","subordinate clauses","Token level","&&&&That&&&& internship employee?"
"94","backchannels","Utterance level","&&&&**OK**[ak]&&&&"
"95","epistemic modals","Utterance level","I think maybe the internship employee &&&&can&&&& also provide some value. Yes, for those students that are like the entry level for that student for the. **Yeah**[ak]"
"96","adjectives/ adverbs expressing possibility","Utterance level","I think &&&&maybe&&&& the internship employee can also provide some value. Yes, for those students that are like the entry level for that student for the. **Yeah**[ak]"
"97","subordinate clauses","Token level","I think maybe the internship employee can also provide some value. Yes, for those students &&&&that&&&& are like the entry level for that student for the. **Yeah**[ak]"
"98","question-based responses","Utterance level","&&&&Like students undergraduate, right?&&&&"
"99","conversation closing","Dialogue level","&&&&True, and since the time is already up, so this pair speaking test is already.&&&&"
"100","subordinate clauses","Token level","True, and &&&&since&&&& the time is already up, so this pair speaking test is already."
